"seed","replicate","n_genes","variants_per_gene","n_case1","n_control1","n_case2","n_control2","bf_mode","simulation_design","background_prob","background_multiplier","pi11_truth","mtada_error","method","target","metric","threshold","value"
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait1","auc",NA,0.692042105263158
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait2","auc",NA,0.660408163265306
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","pleiotropy","auc",NA,0.798787878787879
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait1","pp08_power",0.8,0.24
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait1","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait1","pp08_discoveries",0.8,6
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait2","pp08_power",0.8,0.1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait2","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait2","pp08_discoveries",0.8,1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","pleiotropy","pp08_power",0.8,0.2
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","pleiotropy","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","pleiotropy","pp08_discoveries",0.8,1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,6,0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.01,0
