"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.815353535353535,0.0788271219427837,0.640808080808081,0.894949494949495,10
"mirage_joint","trait1",0.706105263157895,0.06920638993265,0.62938947368421,0.830905263157895,10
"mirage_joint","trait2",0.715102040816327,0.0657964866650001,0.583265306122449,0.823061224489796,10
"mtada_aggregated","pleiotropy",0.72589898989899,0.136566081591061,0.404040404040404,0.895757575757576,10
"mtada_aggregated","trait1",0.681587368421053,0.066615322943347,0.593178947368421,0.784842105263158,10
"mtada_aggregated","trait2",0.699163265306122,0.0799111103183792,0.566530612244898,0.79,10
"separate_mirage","pleiotropy",0.796969696969697,0.108693335477407,0.569292929292929,0.898181818181818,10
"separate_mirage","trait1",0.682543157894737,0.0641760312289788,0.622821052631579,0.795957894736842,10
"separate_mirage","trait2",0.664795918367347,0.11905318743051,0.451020408163265,0.824897959183673,10
