"method","parameter","mean_estimate","sd_estimate","mean_abs_error","sd_abs_error","n"
"mirage_joint","eta1_C1",0.098683688033414,0.0938061661300746,0.0752072611953835,0.07175271166107,10
"mirage_joint","eta1_C2",0.205139058230284,0.149842637924891,0.130872021763153,0.0587504928147669,10
"mirage_joint","eta1_C3",0.531384958312012,0.237090603065931,0.172319377298412,0.155926643976812,10
"mirage_joint","eta2_C1",0.0826689727125952,0.073264538470431,0.067609054101442,0.0580608859317827,10
"mirage_joint","eta2_C2",0.124067775039154,0.122528690985389,0.101353557474693,0.065928317822192,10
"mirage_joint","eta2_C3",0.337409951112383,0.33524643660733,0.277196625279219,0.177108570235221,10
"mirage_joint","pi00",0.840818372173229,0.079627479027712,0.0991816278267707,0.079627479027712,10
"mirage_joint","pi01",0.0335805778867648,0.048884602052737,0.0305395373539954,0.0443986260766743,10
"mirage_joint","pi10",0.0881102458914927,0.0415842442140857,0.0509359638544409,0.0376599961074234,10
"mirage_joint","pi11",0.0374908040485132,0.0268849081254624,0.0286358728959553,0.0255223115276623,10
"mtada_aggregated","pi00",0.9319599234,0.000771177767657338,0.0080400766,0.000771177767657338,10
"mtada_aggregated","pi01",0.0180400766,0.000771177767657324,0.0080400766,0.000771177767657324,10
"mtada_aggregated","pi10",0.0480400766,0.000771177767657325,0.0080400766,0.000771177767657325,10
"mtada_aggregated","pi11",0.0019599234,0.000771177767657324,0.0080400766,0.000771177767657324,10
"separate_mirage","eta1_C1",0.139644156225624,0.115829804188492,0.117363211536897,0.0839102728955141,10
"separate_mirage","eta1_C2",0.30796453977253,0.210363590022524,0.208206762003482,0.0950663049944495,10
"separate_mirage","eta1_C3",0.759535599935413,0.222145537456926,0.297395433040021,0.160998481261289,10
"separate_mirage","eta2_C1",0.10890798137986,0.127778171606097,0.0945845347225686,0.115348603718646,10
"separate_mirage","eta2_C2",0.164784369192588,0.202778451604952,0.14090317499224,0.138932690502754,10
"separate_mirage","eta2_C3",0.503446236399461,0.461020101777014,0.414343209727475,0.183504190676297,10
"separate_mirage","pi00",0.931,0,0.00900000000000001,0,10
"separate_mirage","pi01",0.019,0,0.009,0,10
"separate_mirage","pi10",0.049,0,0.009,0,10
"separate_mirage","pi11",0.001,0,0.009,0,10
