"seed","replicate","method","parameter","truth","estimate","abs_error"
20260815,3,"mtada_aggregated","pi11",0.01,0.000636394,0.009363606
20260816,4,"mirage_joint","pi00",0.94,0.865218938320923,0.0747810616790769
20260816,4,"mirage_joint","pi10",0.04,0.040890676319238,0.00089067631923799
20260816,4,"mirage_joint","pi01",0.01,0.0176313908401291,0.00763139084012907
20260816,4,"mirage_joint","pi11",0.01,0.07625899451971,0.06625899451971
20260816,4,"mirage_joint","eta1_C1",0.05,0.00692601422423611,0.0430739857757639
20260816,4,"mirage_joint","eta1_C2",0.2,0.306581380506126,0.106581380506126
20260816,4,"mirage_joint","eta1_C3",0.5,0.804779767583657,0.304779767583657
20260816,4,"mirage_joint","eta2_C1",0.03,0.00456658203100422,0.0254334179689958
20260816,4,"mirage_joint","eta2_C2",0.15,0.157787811159703,0.00778781115970262
20260816,4,"mirage_joint","eta2_C3",0.4,0.237049164854269,0.162950835145731
20260816,4,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260816,4,"separate_mirage","pi10",0.04,0.049,0.009
20260816,4,"separate_mirage","pi01",0.01,0.019,0.009
20260816,4,"separate_mirage","pi11",0.01,0.001,0.009
20260816,4,"separate_mirage","eta1_C1",0.05,0.00743055425788384,0.0425694457421162
20260816,4,"separate_mirage","eta1_C2",0.2,0.411019391028536,0.211019391028536
20260816,4,"separate_mirage","eta1_C3",0.5,0.999783393304379,0.499783393304379
20260816,4,"separate_mirage","eta2_C1",0.03,0.00234748887024176,0.0276525111297582
20260816,4,"separate_mirage","eta2_C2",0.15,0.0150542073849267,0.134945792615073
20260816,4,"separate_mirage","eta2_C3",0.4,0.388964241806445,0.011035758193555
20260816,4,"mtada_aggregated","pi00",0.94,0.93120406,0.00879594000000006
20260816,4,"mtada_aggregated","pi10",0.04,0.04879594,0.00879594
20260816,4,"mtada_aggregated","pi01",0.01,0.01879594,0.00879594
20260816,4,"mtada_aggregated","pi11",0.01,0.00120406,0.00879594
20260817,5,"mirage_joint","pi00",0.94,0.928691274299007,0.0113087257009926
20260817,5,"mirage_joint","pi10",0.04,0.052084715913216,0.012084715913216
20260817,5,"mirage_joint","pi01",0.01,0.00256316625970943,0.00743683374029057
20260817,5,"mirage_joint","pi11",0.01,0.0166608435280671,0.00666084352806712
20260817,5,"mirage_joint","eta1_C1",0.05,0.000639563361437348,0.0493604366385627
20260817,5,"mirage_joint","eta1_C2",0.2,0.414666817226971,0.214666817226971
20260817,5,"mirage_joint","eta1_C3",0.5,0.979380671238904,0.479380671238904
20260817,5,"mirage_joint","eta2_C1",0.03,0.0105529163686031,0.0194470836313969
20260817,5,"mirage_joint","eta2_C2",0.15,0.306340395340916,0.156340395340916
20260817,5,"mirage_joint","eta2_C3",0.4,0.164873332987701,0.235126667012299
20260817,5,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260817,5,"separate_mirage","pi10",0.04,0.049,0.009
20260817,5,"separate_mirage","pi01",0.01,0.019,0.009
20260817,5,"separate_mirage","pi11",0.01,0.001,0.009
20260817,5,"separate_mirage","eta1_C1",0.05,0.000610004247721976,0.049389995752278
20260817,5,"separate_mirage","eta1_C2",0.2,0.478888461780671,0.278888461780671
20260817,5,"separate_mirage","eta1_C3",0.5,0.99962972407462,0.49962972407462
20260817,5,"separate_mirage","eta2_C1",0.03,0.00774688049173137,0.0222531195082686
20260817,5,"separate_mirage","eta2_C2",0.15,0.215050170808117,0.0650501708081172
20260817,5,"separate_mirage","eta2_C3",0.4,0.0115904318617968,0.388409568138203
20260817,5,"mtada_aggregated","pi00",0.94,0.93208791,0.00791209000000004
20260817,5,"mtada_aggregated","pi10",0.04,0.04791209,0.00791209
20260817,5,"mtada_aggregated","pi01",0.01,0.01791209,0.00791209
20260817,5,"mtada_aggregated","pi11",0.01,0.00208791,0.00791209
20260818,6,"mirage_joint","pi00",0.94,0.829921478205899,0.110078521794101
20260818,6,"mirage_joint","pi10",0.04,0.159713033281482,0.119713033281482
20260818,6,"mirage_joint","pi01",0.01,0.00349029898146361,0.00650970101853639
20260818,6,"mirage_joint","pi11",0.01,0.00687518953115597,0.00312481046884403
20260818,6,"mirage_joint","eta1_C1",0.05,0.0865211831106419,0.0365211831106419
20260818,6,"mirage_joint","eta1_C2",0.2,0.065721789986498,0.134278210013502
20260818,6,"mirage_joint","eta1_C3",0.5,0.504247374527757,0.00424737452775725
20260818,6,"mirage_joint","eta2_C1",0.03,0.0289575199502819,0.00104248004971814
20260818,6,"mirage_joint","eta2_C2",0.15,0.00730538534894568,0.142694614651054
20260818,6,"mirage_joint","eta2_C3",0.4,0.000257411608577101,0.399742588391423
20260818,6,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260818,6,"separate_mirage","pi10",0.04,0.049,0.009
20260818,6,"separate_mirage","pi01",0.01,0.019,0.009
20260818,6,"separate_mirage","pi11",0.01,0.001,0.009
20260818,6,"separate_mirage","eta1_C1",0.05,0.107721501501371,0.0577215015013708
20260818,6,"separate_mirage","eta1_C2",0.2,0.0900664547845069,0.109933545215493
20260818,6,"separate_mirage","eta1_C3",0.5,0.998314076740631,0.498314076740631
20260818,6,"separate_mirage","eta2_C1",0.03,0.059537974298928,0.029537974298928
20260818,6,"separate_mirage","eta2_C2",0.15,0.0303097019104324,0.119690298089568
20260818,6,"separate_mirage","eta2_C3",0.4,0.000269055989897478,0.399730944010103
20260818,6,"mtada_aggregated","pi00",0.94,0.93243736,0.00756263999999995
20260818,6,"mtada_aggregated","pi10",0.04,0.04756264,0.00756264
20260818,6,"mtada_aggregated","pi01",0.01,0.01756264,0.00756264
20260818,6,"mtada_aggregated","pi11",0.01,0.00243736,0.00756264
20260819,7,"mirage_joint","pi00",0.94,0.788091855189009,0.151908144810991
20260819,7,"mirage_joint","pi10",0.04,0.0813333524686635,0.0413333524686635
20260819,7,"mirage_joint","pi01",0.01,0.065543522319589,0.055543522319589
20260819,7,"mirage_joint","pi11",0.01,0.0650312700227384,0.0550312700227384
20260819,7,"mirage_joint","eta1_C1",0.05,0.00981655660447933,0.0401834433955207
20260819,7,"mirage_joint","eta1_C2",0.2,0.220940072828203,0.0209400728282028
20260819,7,"mirage_joint","eta1_C3",0.5,0.29739861107175,0.20260138892825
20260819,7,"mirage_joint","eta2_C1",0.03,0.066303709064046,0.036303709064046
20260819,7,"mirage_joint","eta2_C2",0.15,0.33362857411615,0.18362857411615
20260819,7,"mirage_joint","eta2_C3",0.4,0.0125156900510207,0.387484309948979
20260819,7,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260819,7,"separate_mirage","pi10",0.04,0.049,0.009
20260819,7,"separate_mirage","pi01",0.01,0.019,0.009
20260819,7,"separate_mirage","pi11",0.01,0.001,0.009
20260819,7,"separate_mirage","eta1_C1",0.05,0.00336416493802967,0.0466358350619703
20260819,7,"separate_mirage","eta1_C2",0.2,0.379221534577066,0.179221534577066
20260819,7,"separate_mirage","eta1_C3",0.5,0.622782180868552,0.122782180868552
20260819,7,"separate_mirage","eta2_C1",0.03,0.0696497907890904,0.0396497907890904
20260819,7,"separate_mirage","eta2_C2",0.15,0.661423017790134,0.511423017790134
20260819,7,"separate_mirage","eta2_C3",0.4,0.043958978493035,0.356041021506965
20260819,7,"mtada_aggregated","pi00",0.94,0.93245677,0.00754323000000001
20260819,7,"mtada_aggregated","pi10",0.04,0.04754323,0.00754323
20260819,7,"mtada_aggregated","pi01",0.01,0.01754323,0.00754323
20260819,7,"mtada_aggregated","pi11",0.01,0.00245677,0.00754323
20260820,8,"mirage_joint","pi00",0.94,0.865247113056152,0.0747528869438482
20260820,8,"mirage_joint","pi10",0.04,0.103700882426031,0.0637008824260314
