"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.749212121212121,0.135312881910381,0.519191919191919,0.998787878787879,30
"mirage_joint","trait1",0.712070175438597,0.0658063737470732,0.5824,0.835452631578947,30
"mirage_joint","trait2",0.670965986394558,0.103190899993991,0.465918367346939,0.930612244897959,30
"mtada_aggregated","pleiotropy",0.791313131313131,0.123322930642838,0.44,0.994747474747475,30
"mtada_aggregated","trait1",0.736056140350877,0.0644688200147901,0.594442105263158,0.87898947368421,30
"mtada_aggregated","trait2",0.720353741496599,0.0867948863179829,0.52530612244898,0.887551020408163,30
"separate_mirage","pleiotropy",0.732161616161616,0.151588171421311,0.477171717171717,0.99959595959596,30
"separate_mirage","trait1",0.703505964912281,0.0673537288274251,0.582652631578947,0.845894736842105,30
"separate_mirage","trait2",0.629204081632653,0.101609890223947,0.351632653061224,0.823061224489796,30
