"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.725131313131313,0.101750115313373,0.597979797979798,0.944646464646465,10
"mirage_joint","trait1",0.69146947368421,0.0718889063247593,0.562526315789474,0.826526315789474,10
"mirage_joint","trait2",0.662367346938776,0.0623130142886212,0.55530612244898,0.754081632653061,10
"mtada_aggregated","pleiotropy",0.830060606060606,0.0957309959464277,0.684848484848485,0.993535353535353,10
"mtada_aggregated","trait1",0.729793684210526,0.0463518592137362,0.66458947368421,0.803705263157895,10
"mtada_aggregated","trait2",0.703102040816327,0.0727335791694818,0.629591836734694,0.865510204081633,10
"separate_mirage","pleiotropy",0.720646464646465,0.103612220788401,0.604040404040404,0.958787878787879,10
"separate_mirage","trait1",0.689372631578947,0.07549177190748,0.507536842105263,0.786442105263158,10
"separate_mirage","trait2",0.619020408163265,0.082904424475266,0.509183673469388,0.783061224489796,10
