"seed","replicate","method","parameter","truth","estimate","abs_error"
20260813,1,"mirage_joint","pi00",0.94,0.868000075051945,0.0719999249480546
20260813,1,"mirage_joint","pi10",0.04,0.0726161981796351,0.0326161981796351
20260813,1,"mirage_joint","pi01",0.01,0.0163987406454321,0.00639874064543209
20260813,1,"mirage_joint","pi11",0.01,0.0429849861229875,0.0329849861229875
20260813,1,"mirage_joint","eta1_C1",0.05,0.0614407912477414,0.0114407912477414
20260813,1,"mirage_joint","eta1_C2",0.2,0.382091919977448,0.182091919977448
20260813,1,"mirage_joint","eta1_C3",0.5,0.515527514085447,0.0155275140854473
20260813,1,"mirage_joint","eta2_C1",0.03,0.00768032145470013,0.0223196785452999
20260813,1,"mirage_joint","eta2_C2",0.15,0.421332021854947,0.271332021854947
20260813,1,"mirage_joint","eta2_C3",0.4,0.0186958784099672,0.381304121590033
20260813,1,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260813,1,"separate_mirage","pi10",0.04,0.049,0.009
20260813,1,"separate_mirage","pi01",0.01,0.019,0.009
20260813,1,"separate_mirage","pi11",0.01,0.001,0.009
20260813,1,"separate_mirage","eta1_C1",0.05,0.036055335784054,0.013944664215946
20260813,1,"separate_mirage","eta1_C2",0.2,0.588308253547158,0.388308253547158
20260813,1,"separate_mirage","eta1_C3",0.5,0.693213472886761,0.193213472886761
20260813,1,"separate_mirage","eta2_C1",0.03,0.0108564831439033,0.0191435168560967
20260813,1,"separate_mirage","eta2_C2",0.15,0.628247472742228,0.478247472742228
20260813,1,"separate_mirage","eta2_C3",0.4,0.00545471017329016,0.39454528982671
20260813,1,"mtada_aggregated","pi00",0.94,0.93278932,0.00721068000000002
20260813,1,"mtada_aggregated","pi10",0.04,0.04721068,0.00721068
20260813,1,"mtada_aggregated","pi01",0.01,0.01721068,0.00721068
20260813,1,"mtada_aggregated","pi11",0.01,0.00278932,0.00721068
20260814,2,"mirage_joint","pi00",0.94,0.780272254915478,0.159727745084522
20260814,2,"mirage_joint","pi10",0.04,0.0938324231217798,0.0538324231217798
20260814,2,"mirage_joint","pi01",0.01,0.0724233041746618,0.0624233041746618
20260814,2,"mirage_joint","pi11",0.01,0.0534720177880804,0.0434720177880804
20260814,2,"mirage_joint","eta1_C1",0.05,0.167098013894723,0.117098013894723
20260814,2,"mirage_joint","eta1_C2",0.2,0.0656049693652306,0.134395030634769
20260814,2,"mirage_joint","eta1_C3",0.5,0.00134699900239717,0.498653000997603
20260814,2,"mirage_joint","eta2_C1",0.03,0.0477140057082115,0.0177140057082115
20260814,2,"mirage_joint","eta2_C2",0.15,0.25341569730629,0.10341569730629
20260814,2,"mirage_joint","eta2_C3",0.4,0.426016562654848,0.0260165626548477
20260814,2,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260814,2,"separate_mirage","pi10",0.04,0.049,0.009
20260814,2,"separate_mirage","pi01",0.01,0.019,0.009
20260814,2,"separate_mirage","pi11",0.01,0.001,0.009
20260814,2,"separate_mirage","eta1_C1",0.05,0.318112153877893,0.268112153877893
20260814,2,"separate_mirage","eta1_C2",0.2,0.0687780887530236,0.131221911246976
20260814,2,"separate_mirage","eta1_C3",0.5,0.00224172080860971,0.49775827919139
20260814,2,"separate_mirage","eta2_C1",0.03,0.111223318231361,0.0812233182313613
20260814,2,"separate_mirage","eta2_C2",0.15,0.527935932496876,0.377935932496876
20260814,2,"separate_mirage","eta2_C3",0.4,0.793150609152389,0.393150609152389
20260814,2,"mtada_aggregated","pi00",0.94,0.93506028,0.00493971999999998
20260814,2,"mtada_aggregated","pi10",0.04,0.04493972,0.00493972
20260814,2,"mtada_aggregated","pi01",0.01,0.01493972,0.00493972
20260814,2,"mtada_aggregated","pi11",0.01,0.00506028,0.00493972
20260815,3,"mirage_joint","pi00",0.94,0.868653887209022,0.0713461127909775
20260815,3,"mirage_joint","pi10",0.04,0.0970716867737268,0.0570716867737268
20260815,3,"mirage_joint","pi01",0.01,0.0278445292964553,0.0178445292964553
20260815,3,"mirage_joint","pi11",0.01,0.0064298967207954,0.0035701032792046
20260815,3,"mirage_joint","eta1_C1",0.05,0.116505352177351,0.0665053521773508
20260815,3,"mirage_joint","eta1_C2",0.2,0.212227170743325,0.0122271707433252
20260815,3,"mirage_joint","eta1_C3",0.5,0.0189869042450428,0.481013095754957
20260815,3,"mirage_joint","eta2_C1",0.03,0.0374068848978927,0.00740688489789266
20260815,3,"mirage_joint","eta2_C2",0.15,0.18458669576634,0.0345866957663397
20260815,3,"mirage_joint","eta2_C3",0.4,0.243596986713479,0.156403013286521
20260815,3,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260815,3,"separate_mirage","pi10",0.04,0.049,0.009
20260815,3,"separate_mirage","pi01",0.01,0.019,0.009
20260815,3,"separate_mirage","pi11",0.01,0.001,0.009
20260815,3,"separate_mirage","eta1_C1",0.05,0.152421961272386,0.102421961272386
20260815,3,"separate_mirage","eta1_C2",0.2,0.295078345469503,0.0950783454695032
20260815,3,"separate_mirage","eta1_C3",0.5,0.0110935856394006,0.488906414360599
20260815,3,"separate_mirage","eta2_C1",0.03,0.0444150661417175,0.0144150661417175
20260815,3,"separate_mirage","eta2_C2",0.15,0.226631142800437,0.0766311428004366
20260815,3,"separate_mirage","eta2_C3",0.4,0.319926201742535,0.0800737982574646
20260815,3,"mtada_aggregated","pi00",0.94,0.93133539,0.00866460999999996
20260815,3,"mtada_aggregated","pi10",0.04,0.04866461,0.00866461
20260815,3,"mtada_aggregated","pi01",0.01,0.01866461,0.00866461
20260815,3,"mtada_aggregated","pi11",0.01,0.00133539,0.00866461
20260816,4,"mirage_joint","pi00",0.94,0.88787351241127,0.0521264875887295
20260816,4,"mirage_joint","pi10",0.04,0.0235478280462799,0.0164521719537201
20260816,4,"mirage_joint","pi01",0.01,0.0350521342528392,0.0250521342528392
20260816,4,"mirage_joint","pi11",0.01,0.0535265252896106,0.0435265252896106
20260816,4,"mirage_joint","eta1_C1",0.05,0.015892491460919,0.034107508539081
20260816,4,"mirage_joint","eta1_C2",0.2,0.253010630194312,0.0530106301943125
20260816,4,"mirage_joint","eta1_C3",0.5,0.568169632568569,0.068169632568569
20260816,4,"mirage_joint","eta2_C1",0.03,0.204194066151307,0.174194066151307
20260816,4,"mirage_joint","eta2_C2",0.15,0.146065691872165,0.00393430812783499
20260816,4,"mirage_joint","eta2_C3",0.4,0.269254867400488,0.130745132599512
20260816,4,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260816,4,"separate_mirage","pi10",0.04,0.049,0.009
20260816,4,"separate_mirage","pi01",0.01,0.019,0.009
20260816,4,"separate_mirage","pi11",0.01,0.001,0.009
20260816,4,"separate_mirage","eta1_C1",0.05,0.00661680708931678,0.0433831929106832
20260816,4,"separate_mirage","eta1_C2",0.2,0.383684236829141,0.183684236829141
20260816,4,"separate_mirage","eta1_C3",0.5,0.786995003501384,0.286995003501384
20260816,4,"separate_mirage","eta2_C1",0.03,0.436944943287286,0.406944943287286
20260816,4,"separate_mirage","eta2_C2",0.15,0.119969649150888,0.0300303508491115
20260816,4,"separate_mirage","eta2_C3",0.4,0.635244040347794,0.235244040347794
20260816,4,"mtada_aggregated","pi00",0.94,0.93376258,0.00623742000000005
20260816,4,"mtada_aggregated","pi10",0.04,0.04623742,0.00623742
20260816,4,"mtada_aggregated","pi01",0.01,0.01623742,0.00623742
20260816,4,"mtada_aggregated","pi11",0.01,0.00376258,0.00623742
20260817,5,"mirage_joint","pi00",0.94,0.814572870102019,0.125427129897981
20260817,5,"mirage_joint","pi10",0.04,0.148937645890604,0.108937645890604
20260817,5,"mirage_joint","pi01",0.01,0.0279864212824167,0.0179864212824167
20260817,5,"mirage_joint","pi11",0.01,0.0085030627249607,0.0014969372750393
20260817,5,"mirage_joint","eta1_C1",0.05,0.0281219462881125,0.0218780537118875
20260817,5,"mirage_joint","eta1_C2",0.2,0.376664672721264,0.176664672721264
20260817,5,"mirage_joint","eta1_C3",0.5,0.45428202260944,0.0457179773905595
20260817,5,"mirage_joint","eta2_C1",0.03,0.00340545559070904,0.026594544409291
