"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.678949494949495,0.134545548915886,0.496565656565657,0.892525252525252,10
"mirage_joint","trait1",0.694122105263158,0.0655568241432676,0.611873684210526,0.804378947368421,10
"mirage_joint","trait2",0.623204081632653,0.106977847235574,0.428367346938775,0.736326530612245,10
"mtada_aggregated","pleiotropy",0.73030303030303,0.155449261860447,0.416161616161616,0.898181818181818,10
"mtada_aggregated","trait1",0.71104,0.0783592228174452,0.593010526315789,0.8352,10
"mtada_aggregated","trait2",0.694918367346939,0.112866817560247,0.489591836734694,0.826122448979592,10
"separate_mirage","pleiotropy",0.676646464646465,0.134493345217223,0.498989898989899,0.90989898989899,10
"separate_mirage","trait1",0.679124210526316,0.0638430355871528,0.57861052631579,0.795957894736842,10
"separate_mirage","trait2",0.616795918367347,0.0819760379856927,0.464897959183673,0.715714285714286,10
