"seed","replicate","method","parameter","truth","estimate","abs_error"
20260813,1,"mirage_joint","pi00",0.94,0.922783399794916,0.0172166002050839
20260813,1,"mirage_joint","pi10",0.04,0.0378463726945937,0.00215362730540632
20260813,1,"mirage_joint","pi01",0.01,0.0191972716122751,0.00919727161227511
20260813,1,"mirage_joint","pi11",0.01,0.0201729558982151,0.0101729558982151
20260813,1,"mirage_joint","eta1_C1",0.05,0.00974413258769022,0.0402558674123098
20260813,1,"mirage_joint","eta1_C2",0.2,0.542088904738774,0.342088904738774
20260813,1,"mirage_joint","eta1_C3",0.5,0.678194338143726,0.178194338143726
20260813,1,"mirage_joint","eta2_C1",0.03,0.118203567103215,0.0882035671032152
20260813,1,"mirage_joint","eta2_C2",0.15,0.0186782373220983,0.131321762677902
20260813,1,"mirage_joint","eta2_C3",0.4,0.951785785754027,0.551785785754026
20260813,1,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260813,1,"separate_mirage","pi10",0.04,0.049,0.009
20260813,1,"separate_mirage","pi01",0.01,0.019,0.009
20260813,1,"separate_mirage","pi11",0.01,0.001,0.009
20260813,1,"separate_mirage","eta1_C1",0.05,0.00735378283215196,0.042646217167848
20260813,1,"separate_mirage","eta1_C2",0.2,0.533252363837305,0.333252363837305
20260813,1,"separate_mirage","eta1_C3",0.5,0.710575112871691,0.210575112871691
20260813,1,"separate_mirage","eta2_C1",0.03,0.215285125172096,0.185285125172096
20260813,1,"separate_mirage","eta2_C2",0.15,0.0106435491493396,0.13935645085066
20260813,1,"separate_mirage","eta2_C3",0.4,0.999993050881609,0.599993050881608
20260813,1,"mtada_aggregated","pi00",0.94,0.93329705,0.00670294999999999
20260813,1,"mtada_aggregated","pi10",0.04,0.04670295,0.00670295
20260813,1,"mtada_aggregated","pi01",0.01,0.01670295,0.00670295
20260813,1,"mtada_aggregated","pi11",0.01,0.00329705,0.00670295
20260814,2,"mirage_joint","pi00",0.94,0.908145240561728,0.0318547594382724
20260814,2,"mirage_joint","pi10",0.04,0.0448865421162626,0.00488654211626256
