"method","parameter","mean_estimate","sd_estimate","mean_abs_error","sd_abs_error","n"
"mirage_joint","eta1_C1",0.0783718805980116,0.101348846052638,0.0677325874243033,0.0779008625402121,10
"mirage_joint","eta1_C2",0.264846374613776,0.158456337538131,0.130057249479982,0.104815891361156,10
"mirage_joint","eta1_C3",0.510284763232787,0.323025561399619,0.264843000204653,0.162873241725438,10
"mirage_joint","eta2_C1",0.0521498590332242,0.0732370640837127,0.0480405861384072,0.0578313557655325,10
"mirage_joint","eta2_C2",0.216037963503842,0.201516789359265,0.165616355612606,0.122385321068035,10
"mirage_joint","eta2_C3",0.502437547934141,0.36227731227966,0.307921163258178,0.193787897620646,10
"mirage_joint","pi00",0.867900515616809,0.0519090381000809,0.0720994843831906,0.0519090381000809,10
"mirage_joint","pi01",0.0339723094770147,0.0196023305152461,0.0263442398718425,0.0158632654863944,10
"mirage_joint","pi10",0.077636907633815,0.0499856671556749,0.0508808920014615,0.0345829417531255,10
"mirage_joint","pi11",0.0204902672723608,0.0245261263202224,0.0179975091101214,0.01907625511597,10
"mtada_aggregated","pi00",0.9315006484,0.00109027214870164,0.0084993516,0.00109027214870164,10
"mtada_aggregated","pi01",0.0184993516,0.00109027214870164,0.0084993516,0.00109027214870164,10
"mtada_aggregated","pi10",0.0484993516,0.00109027214870164,0.0084993516,0.00109027214870164,10
"mtada_aggregated","pi11",0.0015006484,0.00109027214870164,0.0084993516,0.00109027214870164,10
"separate_mirage","eta1_C1",0.095738957248202,0.116422962832931,0.0867448878887603,0.0867067361386611,10
"separate_mirage","eta1_C2",0.362133093192879,0.200819906512976,0.223827067423308,0.117777356641273,10
"separate_mirage","eta1_C3",0.670166120578003,0.287342495747356,0.271976770183059,0.180413980578762,10
"separate_mirage","eta2_C1",0.0887558575423956,0.10575334939104,0.084897711903559,0.0837325313507487,10
"separate_mirage","eta2_C2",0.364227209156686,0.296385687571048,0.300159708306504,0.196800730773496,10
"separate_mirage","eta2_C3",0.665441109503839,0.443810423776662,0.483570948230514,0.124226690948484,10
"separate_mirage","pi00",0.931,0,0.00900000000000001,0,10
"separate_mirage","pi01",0.019,0,0.009,0,10
"separate_mirage","pi10",0.049,0,0.009,0,10
"separate_mirage","pi11",0.001,0,0.009,0,10
