"seed","replicate","n_genes","variants_per_gene","n_case1","n_control1","n_case2","n_control2","bf_mode","simulation_design","background_prob","background_multiplier","pi11_truth","mtada_error","method","target","metric","threshold","value"
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","auc",NA,0.725473684210526
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait2","auc",NA,0.736326530612245
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","pleiotropy","auc",NA,0.698585858585859
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","pp08_power",0.8,0.12
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","pp08_fdp",0.8,0.25
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","pp08_discoveries",0.8,4
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait2","pp08_power",0.8,0.1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait2","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait2","pp08_discoveries",0.8,1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","pleiotropy","pp08_power",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","pleiotropy","pp08_fdp",0.8,1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","pleiotropy","pp08_discoveries",0.8,1
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","bfdr_estimate",0.01,0.00597147089144442
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,3,0.01,"","mirage_joint","trait1","bfdr_power",0.01,0.12
