"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.789670033670034,0.114205512846976,0.524040404040404,0.938585858585859,30
"mirage_joint","trait1",0.747166315789474,0.0491407583619837,0.658610526315789,0.860547368421053,30
"mirage_joint","trait2",0.688251700680272,0.10809493789879,0.398163265306122,0.844081632653061,30
"mtada_aggregated","pleiotropy",0.592835016835017,0.105049295780267,0.41979797979798,0.898989898989899,30
"mtada_aggregated","trait1",0.604618947368421,0.056465348865517,0.472336842105263,0.723621052631579,30
"mtada_aggregated","trait2",0.579829931972789,0.0868086422908212,0.399795918367347,0.736020408163265,30
"separate_mirage","pleiotropy",0.77789898989899,0.113857605442577,0.576161616161616,0.943030303030303,30
"separate_mirage","trait1",0.740999298245614,0.0584066315278096,0.641178947368421,0.866021052631579,30
"separate_mirage","trait2",0.665850340136054,0.0970208154394756,0.448979591836735,0.862857142857143,30
