"seed","replicate","method","parameter","truth","estimate","abs_error"
20260815,3,"mtada_aggregated","pi11",0.01,0.00823674,0.00176326
20260816,4,"mirage_joint","pi00",0.94,0.738588535585748,0.201411464414252
20260816,4,"mirage_joint","pi10",0.04,0.174401829460306,0.134401829460306
20260816,4,"mirage_joint","pi01",0.01,0.0292123226155841,0.0192123226155841
20260816,4,"mirage_joint","pi11",0.01,0.0577973123383628,0.0477973123383628
20260816,4,"mirage_joint","eta1_C1",0.05,0.0734882385855787,0.0234882385855787
20260816,4,"mirage_joint","eta1_C2",0.2,0.0899195069979386,0.110080493002061
20260816,4,"mirage_joint","eta1_C3",0.5,0.292503770569758,0.207496229430242
20260816,4,"mirage_joint","eta2_C1",0.03,0.0782377814144719,0.0482377814144719
20260816,4,"mirage_joint","eta2_C2",0.15,0.10486481087979,0.0451351891202105
20260816,4,"mirage_joint","eta2_C3",0.4,0.287260274826156,0.112739725173844
20260816,4,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260816,4,"separate_mirage","pi10",0.04,0.049,0.009
20260816,4,"separate_mirage","pi01",0.01,0.019,0.009
20260816,4,"separate_mirage","pi11",0.01,0.001,0.009
20260816,4,"separate_mirage","eta1_C1",0.05,0.176138762260232,0.126138762260232
20260816,4,"separate_mirage","eta1_C2",0.2,0.207172832069523,0.00717283206952346
20260816,4,"separate_mirage","eta1_C3",0.5,0.709508685837196,0.209508685837196
20260816,4,"separate_mirage","eta2_C1",0.03,0.201070233920199,0.171070233920199
20260816,4,"separate_mirage","eta2_C2",0.15,0.253883691457958,0.103883691457958
20260816,4,"separate_mirage","eta2_C3",0.4,0.855796355024293,0.455796355024293
20260816,4,"mtada_aggregated","pi00",0.94,0.93836446,0.00163553999999999
20260816,4,"mtada_aggregated","pi10",0.04,0.04163554,0.00163554
20260816,4,"mtada_aggregated","pi01",0.01,0.01163554,0.00163554
20260816,4,"mtada_aggregated","pi11",0.01,0.00836446,0.00163554
20260817,5,"mirage_joint","pi00",0.94,0.923588321775599,0.016411678224401
20260817,5,"mirage_joint","pi10",0.04,0.0683938672407756,0.0283938672407756
20260817,5,"mirage_joint","pi01",0.01,0.00288810908166983,0.00711189091833017
20260817,5,"mirage_joint","pi11",0.01,0.00512970190195568,0.00487029809804432
20260817,5,"mirage_joint","eta1_C1",0.05,0.056405852123594,0.00640585212359395
20260817,5,"mirage_joint","eta1_C2",0.2,0.144981558699774,0.0550184413002257
20260817,5,"mirage_joint","eta1_C3",0.5,0.687704488092215,0.187704488092215
20260817,5,"mirage_joint","eta2_C1",0.03,0.00155986106982151,0.0284401389301785
20260817,5,"mirage_joint","eta2_C2",0.15,0.0516231192128409,0.0983768807871591
20260817,5,"mirage_joint","eta2_C3",0.4,0.017823836011361,0.382176163988639
20260817,5,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260817,5,"separate_mirage","pi10",0.04,0.049,0.009
20260817,5,"separate_mirage","pi01",0.01,0.019,0.009
20260817,5,"separate_mirage","pi11",0.01,0.001,0.009
20260817,5,"separate_mirage","eta1_C1",0.05,0.0729542541138992,0.0229542541138992
20260817,5,"separate_mirage","eta1_C2",0.2,0.196504065718012,0.00349593428198836
20260817,5,"separate_mirage","eta1_C3",0.5,0.830856481183385,0.330856481183385
20260817,5,"separate_mirage","eta2_C1",0.03,0.00283786300931043,0.0271621369906896
20260817,5,"separate_mirage","eta2_C2",0.15,0.087464899796322,0.062535100203678
20260817,5,"separate_mirage","eta2_C3",0.4,0.00200259526553915,0.397997404734461
20260817,5,"mtada_aggregated","pi00",0.94,0.93984269,0.000157309999999966
20260817,5,"mtada_aggregated","pi10",0.04,0.04015731,0.000157310000000001
20260817,5,"mtada_aggregated","pi01",0.01,0.01015731,0.000157310000000001
20260817,5,"mtada_aggregated","pi11",0.01,0.00984269,0.000157310000000001
20260818,6,"mirage_joint","pi00",0.94,0.929607155872877,0.0103928441271225
20260818,6,"mirage_joint","pi10",0.04,0.0323541519799197,0.00764584802008033
20260818,6,"mirage_joint","pi01",0.01,0.0201774287927781,0.0101774287927781
20260818,6,"mirage_joint","pi11",0.01,0.0178612633544249,0.0078612633544249
20260818,6,"mirage_joint","eta1_C1",0.05,0.000148525730910621,0.0498514742690894
20260818,6,"mirage_joint","eta1_C2",0.2,0.0221892141183786,0.177810785881621
20260818,6,"mirage_joint","eta1_C3",0.5,0.999895704555157,0.499895704555157
20260818,6,"mirage_joint","eta2_C1",0.03,0.163591765564919,0.133591765564919
20260818,6,"mirage_joint","eta2_C2",0.15,0.0228935229058393,0.127106477094161
20260818,6,"mirage_joint","eta2_C3",0.4,0.293926782077087,0.106073217922913
20260818,6,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260818,6,"separate_mirage","pi10",0.04,0.049,0.009
20260818,6,"separate_mirage","pi01",0.01,0.019,0.009
20260818,6,"separate_mirage","pi11",0.01,0.001,0.009
20260818,6,"separate_mirage","eta1_C1",0.05,0.000325213689549468,0.0496747863104505
20260818,6,"separate_mirage","eta1_C2",0.2,0.000720694336838836,0.199279305663161
20260818,6,"separate_mirage","eta1_C3",0.5,0.999915383529095,0.499915383529095
20260818,6,"separate_mirage","eta2_C1",0.03,0.302386189774384,0.272386189774384
20260818,6,"separate_mirage","eta2_C2",0.15,0.0444800488951178,0.105519951104882
20260818,6,"separate_mirage","eta2_C3",0.4,0.39385519462009,0.00614480537990952
20260818,6,"mtada_aggregated","pi00",0.94,0.93821343,0.00178657000000004
20260818,6,"mtada_aggregated","pi10",0.04,0.04178657,0.00178657
20260818,6,"mtada_aggregated","pi01",0.01,0.01178657,0.00178657
20260818,6,"mtada_aggregated","pi11",0.01,0.00821343,0.00178657
20260819,7,"mirage_joint","pi00",0.94,0.906887471079556,0.033112528920444
20260819,7,"mirage_joint","pi10",0.04,0.0261451496537986,0.0138548503462014
20260819,7,"mirage_joint","pi01",0.01,0.0130925248943093,0.00309252489430934
20260819,7,"mirage_joint","pi11",0.01,0.0538748543723361,0.0438748543723361
20260819,7,"mirage_joint","eta1_C1",0.05,0.0260453694186607,0.0239546305813393
20260819,7,"mirage_joint","eta1_C2",0.2,0.132725337148778,0.067274662851222
20260819,7,"mirage_joint","eta1_C3",0.5,0.656135611772583,0.156135611772583
20260819,7,"mirage_joint","eta2_C1",0.03,0.000110384609706501,0.0298896153902935
20260819,7,"mirage_joint","eta2_C2",0.15,0.0190145334036928,0.130985466596307
20260819,7,"mirage_joint","eta2_C3",0.4,0.445736650411573,0.0457366504115732
20260819,7,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260819,7,"separate_mirage","pi10",0.04,0.049,0.009
20260819,7,"separate_mirage","pi01",0.01,0.019,0.009
20260819,7,"separate_mirage","pi11",0.01,0.001,0.009
20260819,7,"separate_mirage","eta1_C1",0.05,0.0594967621678307,0.0094967621678307
20260819,7,"separate_mirage","eta1_C2",0.2,0.183632684821883,0.0163673151781166
20260819,7,"separate_mirage","eta1_C3",0.5,0.80729549838256,0.30729549838256
20260819,7,"separate_mirage","eta2_C1",0.03,2.06648615003049e-05,0.0299793351384997
