"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.737458585858586,0.118511398831704,0.452525252525253,0.981414141414141,100
"mirage_joint","trait1",0.703771789473684,0.0583830035992975,0.569936842105263,0.835368421052632,100
"mirage_joint","trait2",0.671167346938776,0.0966673698716283,0.389795918367347,0.878775510204082,100
"mtada_aggregated","pleiotropy",0.72629494949495,0.114560134538419,0.39030303030303,0.94949494949495,100
"mtada_aggregated","trait1",0.705698947368421,0.0617830127573879,0.555621052631579,0.844294736842105,100
"mtada_aggregated","trait2",0.655831632653061,0.0839501666788328,0.444489795918367,0.852857142857143,100
"separate_mirage","pleiotropy",0.731224242424242,0.121159306658633,0.445252525252525,0.982222222222222,100
"separate_mirage","trait1",0.700885894736842,0.0589245821897239,0.556378947368421,0.824084210526316,100
"separate_mirage","trait2",0.638220408163265,0.0888689863456588,0.36469387755102,0.833265306122449,100
