"seed","replicate","method","parameter","truth","estimate","abs_error"
20260813,1,"mirage_joint","pi00",0.94,0.865499975039283,0.0745000249607171
20260813,1,"mirage_joint","pi10",0.04,0.0775305467153385,0.0375305467153385
20260813,1,"mirage_joint","pi01",0.01,0.0161347774896369,0.00613477748963686
20260813,1,"mirage_joint","pi11",0.01,0.0408347007557417,0.0308347007557417
20260813,1,"mirage_joint","eta1_C1",0.05,0.0702213098780306,0.0202213098780306
20260813,1,"mirage_joint","eta1_C2",0.2,0.341160129604642,0.141160129604642
20260813,1,"mirage_joint","eta1_C3",0.5,0.45926078231161,0.0407392176883904
20260813,1,"mirage_joint","eta2_C1",0.03,0.0150236742240609,0.0149763257759391
20260813,1,"mirage_joint","eta2_C2",0.15,0.170227179776357,0.0202271797763568
20260813,1,"mirage_joint","eta2_C3",0.4,0.50485927160296,0.10485927160296
20260813,1,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260813,1,"separate_mirage","pi10",0.04,0.049,0.009
20260813,1,"separate_mirage","pi01",0.01,0.019,0.009
20260813,1,"separate_mirage","pi11",0.01,0.001,0.009
20260813,1,"separate_mirage","eta1_C1",0.05,0.139898503389596,0.0898985033895956
20260813,1,"separate_mirage","eta1_C2",0.2,0.536476607054328,0.336476607054328
20260813,1,"separate_mirage","eta1_C3",0.5,0.561143913259278,0.0611439132592785
20260813,1,"separate_mirage","eta2_C1",0.03,0.00830842437460568,0.0216915756253943
20260813,1,"separate_mirage","eta2_C2",0.15,0.279939931937383,0.129939931937383
20260813,1,"separate_mirage","eta2_C3",0.4,0.998582950844318,0.598582950844318
20260813,1,"mtada_aggregated","pi00",0.94,0.93142756,0.00857244000000001
20260813,1,"mtada_aggregated","pi10",0.04,0.04857244,0.00857244
20260813,1,"mtada_aggregated","pi01",0.01,0.01857244,0.00857244
20260813,1,"mtada_aggregated","pi11",0.01,0.00142756,0.00857244
20260814,2,"mirage_joint","pi00",0.94,0.870314408888219,0.0696855911117812
20260814,2,"mirage_joint","pi10",0.04,0.0764028739255957,0.0364028739255957
20260814,2,"mirage_joint","pi01",0.01,9.54280320080699e-05,0.00990457196799193
20260814,2,"mirage_joint","pi11",0.01,0.0531872891541775,0.0431872891541775
20260814,2,"mirage_joint","eta1_C1",0.05,0.0936319176822366,0.0436319176822366
20260814,2,"mirage_joint","eta1_C2",0.2,0.185402387868998,0.0145976121310025
20260814,2,"mirage_joint","eta1_C3",0.5,0.523161478486578,0.0231614784865782
20260814,2,"mirage_joint","eta2_C1",0.03,0.000310606920860337,0.0296893930791397
20260814,2,"mirage_joint","eta2_C2",0.15,0.0659739832602856,0.0840260167397144
20260814,2,"mirage_joint","eta2_C3",0.4,0.321299071051316,0.0787009289486835
20260814,2,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260814,2,"separate_mirage","pi10",0.04,0.049,0.009
20260814,2,"separate_mirage","pi01",0.01,0.019,0.009
20260814,2,"separate_mirage","pi11",0.01,0.001,0.009
20260814,2,"separate_mirage","eta1_C1",0.05,0.118746887518801,0.0687468875188007
20260814,2,"separate_mirage","eta1_C2",0.2,0.296724088477823,0.0967240884778227
