"multiplier","target","mirage_auc","mirage_sd","n","mtada_auc","mtada_sd","mtada_n","separate_auc","delta"
2,"pleiotropy",0.725131313131313,0.101750115313373,10,0.830060606060606,0.0957309959464277,10,0.720646464646465,-0.104929292929293
2,"trait1",0.69146947368421,0.0718889063247593,10,0.729793684210526,0.0463518592137362,10,0.689372631578947,-0.0383242105263161
2,"trait2",0.662367346938776,0.0623130142886212,10,0.703102040816327,0.0727335791694818,10,0.619020408163265,-0.040734693877551
3,"pleiotropy",0.678949494949495,0.134545548915886,10,0.73030303030303,0.155449261860447,10,0.676646464646465,-0.051353535353535
3,"trait1",0.694122105263158,0.0655568241432676,10,0.71104,0.0783592228174452,10,0.679124210526316,-0.016917894736842
3,"trait2",0.623204081632653,0.106977847235574,10,0.694918367346939,0.112866817560247,10,0.616795918367347,-0.0717142857142861
4,"pleiotropy",0.718060606060606,0.152346725109795,10,0.722828282828283,0.121176799941599,10,0.718262626262626,-0.00476767676767709
4,"trait1",0.704033684210526,0.0624261415832353,10,0.727663157894737,0.0513036040113079,10,0.705052631578947,-0.023629473684211
4,"trait2",0.655632653061225,0.0682404277631968,10,0.627367346938775,0.0518538234906302,10,0.613918367346939,0.0282653061224499
