"multiplier","n","mirage_auc","mtada_auc","separate_auc","delta"
2,10,0.6929893779181,0.754318777029153,0.676346501462892,-0.0613293991110534
3,10,0.665425227281769,0.71208713254999,0.657522197846709,-0.046661905268221
4,10,0.692575647777452,0.692619595887265,0.679077875062837,-4.39481098127107e-05
5,100,0.704132574090349,0.695941843172144,0.690110181774783,0.00819073091820466
6,10,0.745520279775919,0.702216541208722,0.71476959107726,0.0433037385671973
8,30,0.717486378813798,0.677266750088304,0.713729769975685,0.0402196287254936
