"method","parameter","mean_estimate","sd_estimate","mean_abs_error","sd_abs_error","n"
"mirage_joint","eta1_C1",0.0596302000507396,0.0561990197021772,0.0472253141668101,0.0279882373864545,10
"mirage_joint","eta1_C2",0.230465918921993,0.12496485746085,0.0997744254513563,0.0747427460754013,10
"mirage_joint","eta1_C3",0.508255746080054,0.194201870838439,0.130707617856645,0.137139855423475,10
"mirage_joint","eta2_C1",0.0807229917237698,0.144074668027418,0.0674797233656976,0.136223133108018,10
"mirage_joint","eta2_C2",0.16588762131433,0.143591784472798,0.118677055812315,0.0724562200843642,10
"mirage_joint","eta2_C3",0.226622776118698,0.283264662962443,0.290078966475426,0.141926574616908,10
"mirage_joint","pi00",0.854428636260531,0.0449004043518067,0.0855713637394692,0.0449004043518067,10
"mirage_joint","pi01",0.0111031217872879,0.0102086750798577,0.00940187827151348,0.00271147865415171,10
"mirage_joint","pi10",0.0941947235557399,0.0351086151915606,0.0599202639697595,0.0225088476845976,10
"mirage_joint","pi11",0.0402735183964415,0.0293851922903042,0.0316267045098711,0.0277564417205832,10
"mtada_aggregated","pi00",0.9312926181,0.000458375021136006,0.00870738190000001,0.000458375021136006,10
"mtada_aggregated","pi01",0.0187073819,0.000458375021136006,0.0087073819,0.000458375021136006,10
"mtada_aggregated","pi10",0.0487073819,0.000458375021136005,0.0087073819,0.000458375021136005,10
"mtada_aggregated","pi11",0.0012926181,0.000458375021136005,0.0087073819,0.000458375021136006,10
"separate_mirage","eta1_C1",0.111267150641734,0.11926035416348,0.0993839645750987,0.0861343924133237,10
"separate_mirage","eta1_C2",0.353875381383815,0.204396071172755,0.214871925367787,0.129561942305288,10
"separate_mirage","eta1_C3",0.706950839158896,0.228211340630587,0.262487270732708,0.152028714119092,10
"separate_mirage","eta2_C1",0.103251467490255,0.223217174593216,0.0990389725270186,0.21187096634065,10
"separate_mirage","eta2_C2",0.261259486414217,0.239927842469364,0.214167179998372,0.142672604866696,10
"separate_mirage","eta2_C3",0.310063897957004,0.300222250027829,0.236053536462412,0.192894011901966,10
"separate_mirage","pi00",0.931,0,0.00900000000000001,0,10
"separate_mirage","pi01",0.019,0,0.009,0,10
"separate_mirage","pi10",0.049,0,0.009,0,10
"separate_mirage","pi11",0.001,0,0.009,0,10
