"method","target","mean_auc","sd_auc","min_auc","max_auc","n"
"mirage_joint","pleiotropy",0.718060606060606,0.152346725109795,0.486464646464646,0.921616161616162,10
"mirage_joint","trait1",0.704033684210526,0.0624261415832353,0.610273684210526,0.844378947368421,10
"mirage_joint","trait2",0.655632653061225,0.0682404277631968,0.537551020408163,0.772857142857143,10
"mtada_aggregated","pleiotropy",0.722828282828283,0.121176799941599,0.446060606060606,0.848484848484849,10
"mtada_aggregated","trait1",0.727663157894737,0.0513036040113079,0.658442105263158,0.817684210526316,10
"mtada_aggregated","trait2",0.627367346938775,0.0518538234906302,0.512244897959184,0.695102040816327,10
"separate_mirage","pleiotropy",0.718262626262626,0.15621828014143,0.488484848484848,0.93010101010101,10
"separate_mirage","trait1",0.705052631578947,0.0614075010231008,0.612884210526316,0.836631578947368,10
"separate_mirage","trait2",0.613918367346939,0.0836973474031914,0.478367346938776,0.766530612244898,10
