"seed","replicate","n_genes","variants_per_gene","n_case1","n_control1","n_case2","n_control2","bf_mode","simulation_design","background_prob","background_multiplier","pi11_truth","mtada_error","method","target","metric","threshold","value"
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","auc",NA,0.610273684210526
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","auc",NA,0.586530612244898
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","pleiotropy","auc",NA,0.486464646464646
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","pp08_power",0.8,0.12
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","pp08_discoveries",0.8,3
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","pp08_power",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","pp08_discoveries",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","pleiotropy","pp08_power",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","pleiotropy","pp08_fdp",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","pleiotropy","pp08_discoveries",0.8,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_estimate",0.01,0.00470453616537
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_power",0.01,0.12
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_discoveries",0.01,3
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.05,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_estimate",0.05,0.00470453616537
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_power",0.05,0.12
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_discoveries",0.05,3
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.1,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_estimate",0.1,0.0772421121252586
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_power",0.1,0.16
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_discoveries",0.1,4
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_observed_fdp",0.2,0.428571428571429
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_estimate",0.2,0.196724623035005
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_power",0.2,0.16
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait1","bfdr_discoveries",0.2,7
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_observed_fdp",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_estimate",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_power",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_discoveries",0.01,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_observed_fdp",0.05,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_estimate",0.05,0
20260813,1,500,15,3000,3000,3000,3000,"fast","control_informative",0.05,4,0.01,"","mirage_joint","trait2","bfdr_power",0.05,0
